INDEX,ZHATNUM,ZHATLABEL,STATE,PARTY,FIRSTNAME,LASTNAME,SERVEDCONG,INCORCOMPRACE,MEAN,SD,CFSCORE,CFSCORE.DYN,DWNOM.COMMON,DWNOM112.COMMON,DWNOM112_BSE.COMMON,NAIVEMEAN,NAIVEMEAN.all,LABEL,LABEL2
122,zhat[122],CA.inc2,CA,D,Dianne,Feinstein,1,1,-0.7240508,0.02692256,-0.949978581,-0.687254328,-0.289,-0.286,0.036,-1.20338983,-1.20338983,Feinstein (D-CA),Feinstein (D-CA)
123,zhat[123],DE.inc2,DE,D,Tom,Carper,1,1,-0.5555447,0.029044104,-0.600172973,-0.474369996,-0.192,-0.189,0.017,-1.06508876,-1.06508876,Carper (D-DE),Carper (D-DE)
124,zhat[124],FL.inc2,FL,D,Bill,Nelson,1,1,-0.4644252,0.042763563,-0.619221938,-0.288468456,-0.206,-0.195,0.016,-0.76923077,-0.76923077,Nelson (D-FL),Nelson (D-FL)
125,zhat[125],KS.inc2,KS,R,Pat,Roberts,1,1,0.906268,0.027007587,0.94484015,0.997211195,0.41,0.408,0.033,1.71686747,1.71686747,Roberts (R-KS),Roberts (R-KS)
126,zhat[126],MA.inc2,MA,D,John,Kerry,1,1,-0.849125,0.018611892,-0.956070052,-1.023734462,-0.376,,,-1.78421053,-1.78421053,Kerry (D-MA),Kerry (D-MA)
127,zhat[127],ME.inc2,ME,R,Olympia,Snowe,1,1,0.2124488,0.025060968,0.335662541,0.059297016,0.083,,,0.17346939,0.17346939,Snowe (R-ME),Snowe (R-ME)
128,zhat[128],MI.inc2,MI,D,Carl,Levin,1,1,-0.8663435,0.01618199,-0.706931147,0.153239703,-0.421,,,-1.6961326,-1.6961326,Levin (D-MI),Levin (D-MI)
129,zhat[129],MN.inc2,MN,D,Amy,Klobuchar,1,1,-0.8102816,0.02001162,-1.20428425,-0.981813695,-0.259,,,-1.76111111,-1.76111111,Klobuchar (D-MN),Klobuchar (D-MN)
130,zhat[130],MS.inc2,MS,R,Thad,Cochran,1,1,0.8872466,0.027723596,0.891951319,0.394558379,0.281,,,1.40697674,1.40697674,Cochran (R-MS),Cochran (R-MS)
131,zhat[131],MT.inc2,MT,D,Jon,Tester,1,1,-0.6078226,0.024022474,-1.224802874,-1.005927602,-0.24,,,-1.41326531,-1.41326531,Tester (D-MT),Tester (D-MT)
132,zhat[132],NE.inc2,NE,D,Ben,Nelson,1,1,-0.1401576,0.051721545,-0.279343361,-0.000636953,-0.032,,,-0.28834356,-0.28834356,Nelson (D-NE),Nelson (D-NE)
133,zhat[133],NJ.inc2,NJ,D,Frank,Lautenberg,1,1,-0.8525532,0.01992076,-0.633548131,-0.607281216,-0.41,,,-1.71084337,-1.71084337,Lautenberg (D-NJ),Lautenberg (D-NJ)
134,zhat[134],NM.inc2,NM,D,Jeff,Bingaman,1,1,-0.7714818,0.023010265,-0.769748637,-0.798878977,-0.282,,,-1.38888889,-1.38888889,Bingaman (D-NM),Bingaman (D-NM)
135,zhat[135],RI.inc2,RI,D,Jack,Reed,1,1,-0.7890785,0.02527349,-0.766002364,-0.734428244,-0.418,,,-1.48587571,-1.48587571,Reed (D-RI),Reed (D-RI)
136,zhat[136],TN.inc2,TN,R,Lamar,Alexander,1,1,0.7449917,0.02888088,0.883753957,0.861086436,0.324,,,1.35428571,1.35428571,Alexander (R-TN),Alexander (R-TN)
137,zhat[137],TX.inc2,TX,R,Kay Bailey,Hutchinson,1,1,0.6760168,0.027562172,0.999402939,0.616734855,0.358,,,1.2,1.2,Hutchinson (R-TX),Hutchinson (R-TX)
138,zhat[138],VA.inc2,VA,D,Jim,Webb,1,1,-0.4609684,0.036517506,-1.23167934,-0.758791849,-0.184,,,-1.13253012,-1.13253012,Webb (D-VA),Webb (D-VA)
139,zhat[139],WI.inc2,WI,D,Herb,Kohl,1,1,-0.6664818,0.02723313,-0.582894043,-1.183407459,-0.283,,,-1.43930636,-1.43930636,Kohl (D-WI),Kohl (D-WI)
140,zhat[140],WY.inc2,WY,R,Michael,Enzi,1,1,1.008569,0.022319719,0.896874357,0.326872142,0.536,,,2.03370787,2.03370787,Enzi (R-WY),Enzi (R-WY)
141,zhat[141],Crist.I.FL,FL,I,Charlie,Crist,0,1,-0.194763,0.036799797,0.527889222,0.440365948,,,,-0.36363636,-0.36363636,Crist (I-FL),Crist (I-FL)
